image,name,price
https://images.meesho.com/images/products/71023584/eotyj_512.jpg,Fancy Latest Men Bags & Backpacks,"₹,700"
"https://images.meesho.com/images/products/51039776/r0oqs_512.jpg,data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Casual Trendy Men Socks,"₹,124"
"https://images.meesho.com/images/products/71013782/xixed_512.jpg,data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",TRENDY SUNGLASSES,"₹,718"
"https://images.meesho.com/images/products/71048637/q8boi_512.jpg,data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Fashionable Latest Men Belts,"₹,264"
"https://images.meesho.com/images/products/71044616/j75zs_512.jpg,data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Zargoon Unisex White Frame Adult Square Sunglasses for Men & Women,"₹,165"
"https://images.meesho.com/images/products/71017979/pgdvg_512.jpg,data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Men Winter Warm Valvet Fur Socks,"₹,110"
"https://images.meesho.com/images/products/7233891/4806b_512.jpg,data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",simple man's watch,"₹,161"
"https://images.meesho.com/images/products/7909665/dqsbl_512.jpg,data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Men's Metal Wathch,"₹,115"
"https://images.meesho.com/images/products/68921547/1jniy_512.jpg,data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Men & Women Ankle Length Socks ( Pack of 12 ),"₹,125"
"https://images.meesho.com/images/products/71052798/ntnez_512.jpg,data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",istirio uvprotection sunglass,"₹,223"
"https://images.meesho.com/images/products/10882718/b3589_512.jpg,data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Unique Men's Wallet ,"₹,152"
"https://images.meesho.com/images/products/71039449/xuags_512.jpg,data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Maxence fashion Premium Men's Muffler,"₹,964"
"https://images.meesho.com/images/products/53134846/lfkdu_512.jpg,data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",MEN watch,"₹,157"
"https://images.meesho.com/images/products/71049076/9yelk_512.jpg,data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",istirio uv protection sunglass,"₹,223"
"https://images.meesho.com/images/products/71032076/wzgcx_512.jpg,data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Styles Modern Men Belts,"₹,314"
"https://images.meesho.com/images/products/71018898/1llsq_512.jpg,data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Socks for Men,"₹,136"
"https://images.meesho.com/images/products/71039985/vlqim_512.jpg,data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Keychain,"₹,261"
"https://images.meesho.com/images/products/71042712/cnplx_512.jpg,data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",BEEMOM ADIDAS SOCKS BOYS & GIRLS,"₹,141"
"https://images.meesho.com/images/products/71042530/2qypm_512.jpg,data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sunwear Adult Unisex Square Sunglass,"₹,140"
"https://images.meesho.com/images/products/49362220/sv9b4_512.jpg,data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Shah Collections Stylish Frame Metal UV Protected Round Shape Unisex Sunglasses (Blue, Free Size)","₹,98"
https://images.meesho.com/images/products/71046073/vbc1m_512.jpg, Mi Band 3 Smartwatch Replacement Strap | Soft Silicone Matte Sport Wristband Accessory Flexible Bracelet Compatible with Xiaomi Mi Band Smart Band Strap,"₹,86"
"https://images.meesho.com/images/products/71029663/e8y5v_512.jpg,data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Men & Women Solid Ankle Length,"₹,146"
"https://images.meesho.com/images/products/71057284/6o6ms_512.jpg,data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Unisex Adult red Aviator sunglasses,"₹,112"
"https://images.meesho.com/images/products/71057296/zhtwj_512.jpg,data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Unisex Adult clear Aviator silver frame sunglasses,"₹,112"
"https://images.meesho.com/images/products/71043749/5ay4a_512.jpg,data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Casual Unique Men Sunglasses,"₹,223"
"https://images.meesho.com/images/products/71038363/q9p5n_512.jpg,data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Fashionable Latest Men Belts,"₹,314"
"https://images.meesho.com/images/products/71022619/e5dap_512.jpg,data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Standard Latest Men Bags & Backpacks,"₹,210"
"https://images.meesho.com/images/products/71026936/r8e4g_512.jpg,data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Men's Leather belt (Formal/Casual) Buckle Adjustable Genuine Leather. NL-MILLED BRN STICHED-1,"₹,463"
"https://images.meesho.com/images/products/71040366/igpsy_512.jpg,data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sunwear Unisex Stylish Modern Sunglasses,"₹,188"
"https://images.meesho.com/images/products/71055826/gotsu_512.jpg,data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Men's Brown Tie, Pocket Square & Cuff links Set","₹,560"
"https://images.meesho.com/images/products/71029595/zlcyp_512.jpg,data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Men & Women Solid Ankle Length,"₹,146"
"https://images.meesho.com/images/products/71018890/jrtv8_512.jpg,data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Classic Men Mufflers,"₹,374"
"https://images.meesho.com/images/products/71039221/g8zzc_512.jpg,data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",The Key House Antique Metallic Paris Eifeell Tower Design Theme Vintage Gandhi Style Pocket Watch Key Chain With Key Ring for Men/Women.,"₹,261"
"https://images.meesho.com/images/products/71014408/hxxiw_512.jpg,data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",MEN AND WOMEN SUNGLASSES,"₹,174"
"https://images.meesho.com/images/products/71022547/kfdcv_512.jpg,data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Dolphin Corner Joint Design Rexine wallet,"₹,17"
"https://images.meesho.com/images/products/71015493/c6wco_512.jpg,data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",MEN AND WOMEN SUNGLASSES,"₹,174"
"https://images.meesho.com/images/products/71044997/466dz_512.jpg,data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Fashionable Latest Men Sunglasses,"₹,153"
